Timestamp,Class,Confidence
2026-03-26 23:17:24,fire,0.94
2026-03-26 23:17:24,fire,0.95
2026-03-26 23:17:24,fire,0.96
2026-03-26 23:17:25,fire,0.97
2026-03-26 23:17:25,fire,0.98
2026-03-26 23:17:25,fire,0.97
2026-03-26 23:17:26,fire,0.99
2026-03-26 23:17:26,fire,0.98
2026-03-26 23:17:26,fire,0.97
2026-03-26 23:17:27,fire,0.94
2026-03-26 23:17:27,fire,0.98
2026-03-26 23:17:27,fire,0.97
2026-03-26 23:17:28,fire,0.97
2026-03-26 23:17:28,fire,0.97
2026-03-26 23:17:28,fire,0.99
2026-03-26 23:17:29,fire,0.99
2026-03-26 23:17:29,fire,0.98
2026-03-26 23:17:30,fire,0.95
2026-03-26 23:17:30,fire,0.96
2026-03-26 23:17:30,fire,0.97
2026-03-26 23:17:31,fire,0.98
2026-03-26 23:17:31,fire,0.95
2026-03-26 23:17:32,fire,0.98
2026-03-26 23:17:32,fire,0.97
2026-03-26 23:17:33,fire,0.99
2026-03-26 23:17:33,fire,0.98
2026-03-26 23:17:33,fire,0.98
2026-03-26 23:17:34,fire,0.98
2026-03-26 23:17:34,fire,0.96
2026-03-26 23:17:34,fire,0.98
2026-03-26 23:17:35,fire,0.98
2026-03-26 23:17:35,fire,0.97
2026-03-26 23:17:35,fire,0.97
2026-03-26 23:17:36,fire,0.99
2026-03-26 23:17:36,fire,0.99
2026-03-26 23:17:37,fire,0.99
2026-03-26 23:17:37,fire,0.91
2026-03-26 23:17:38,fire,0.97
2026-03-26 23:17:38,fire,0.98
2026-03-26 23:17:39,fire,0.99
2026-03-26 23:17:39,fire,0.96
2026-03-26 23:17:39,fire,0.96
2026-03-26 23:17:39,fire,0.99
2026-03-26 23:17:40,fire,0.99
2026-03-26 23:17:40,fire,0.98
2026-03-26 23:17:41,fire,0.96
2026-03-26 23:17:41,fire,0.96
2026-03-26 23:17:41,fire,0.96
2026-03-26 23:17:42,fire,0.96
2026-03-26 23:17:42,fire,0.94
2026-03-26 23:17:42,fire,0.95
2026-03-26 23:17:43,fire,0.94
2026-03-26 23:17:43,fire,0.96
2026-03-26 23:17:44,fire,0.98
2026-03-26 23:17:44,fire,0.97
2026-03-26 23:17:44,fire,0.95
2026-03-26 23:17:45,fire,0.96
2026-03-26 23:17:45,fire,0.96
2026-03-26 23:17:45,fire,0.97
2026-03-26 23:17:46,fire,0.97
2026-03-26 23:17:46,fire,0.98
2026-03-26 23:17:46,fire,0.97
2026-03-26 23:17:47,fire,0.97
2026-03-26 23:17:47,fire,0.97
2026-03-26 23:17:47,fire,0.97
2026-03-26 23:17:48,fire,0.97
2026-03-26 23:17:48,fire,0.97
2026-03-26 23:17:49,fire,0.97
2026-03-26 23:17:49,fire,0.97
2026-03-26 23:17:50,fire,0.97
2026-03-26 23:17:50,fire,0.97
2026-03-26 23:17:50,fire,0.97
2026-03-26 23:17:51,fire,0.97
2026-03-26 23:17:51,fire,0.97
2026-03-26 23:17:51,fire,0.97
2026-03-26 23:17:52,fire,0.97
2026-03-26 23:17:52,fire,0.97
2026-03-26 23:17:52,fire,0.97
2026-03-26 23:17:53,fire,0.96
2026-03-26 23:17:53,fire,0.95
2026-03-26 23:17:53,fire,0.99
2026-03-26 23:17:54,fire,0.99
2026-03-26 23:17:54,fire,1.00
2026-03-26 23:17:54,fire,0.98
2026-03-26 23:17:55,fire,0.99
2026-03-26 23:17:55,fire,1.00
2026-03-26 23:17:55,fire,0.99
2026-03-26 23:17:56,fire,0.99
2026-03-26 23:17:56,fire,1.00
2026-03-26 23:17:56,fire,0.99
2026-03-26 23:17:57,fire,0.99
2026-03-26 23:17:57,fire,1.00
2026-03-26 23:17:58,fire,0.99
2026-03-26 23:17:58,fire,1.00
2026-03-26 23:17:58,fire,1.00
2026-03-26 23:17:59,fire,1.00
2026-03-26 23:17:59,fire,1.00
2026-03-26 23:17:59,fire,0.99
2026-03-26 23:18:00,fire,0.99
2026-03-26 23:18:00,fire,0.99
2026-03-26 23:18:01,fire,0.99
2026-03-26 23:18:01,fire,0.99
2026-03-26 23:18:01,fire,0.99
2026-03-26 23:18:02,fire,0.99
2026-03-26 23:18:02,fire,0.99
2026-03-26 23:18:02,fire,1.00
2026-03-26 23:18:03,fire,0.99
2026-03-26 23:18:03,fire,0.99
2026-03-26 23:18:03,fire,0.99
2026-03-26 23:18:04,fire,0.99
2026-03-26 23:18:04,fire,0.99
2026-03-26 23:18:05,fire,0.99
2026-03-26 23:18:05,fire,0.99
2026-03-26 23:18:05,fire,0.99
2026-03-26 23:18:06,fire,0.99
2026-03-26 23:18:06,fire,0.99
2026-03-26 23:18:07,fire,1.00
2026-03-26 23:18:07,fire,1.00
2026-03-26 23:18:08,fire,1.00
2026-03-26 23:18:08,fire,1.00
2026-03-26 23:18:09,fire,1.00
2026-03-26 23:18:09,fire,0.99
2026-03-26 23:18:10,fire,0.99
2026-03-26 23:18:10,fire,0.98
2026-03-26 23:18:10,fire,0.95
2026-03-26 23:18:11,fire,1.00
2026-03-26 23:18:11,fire,0.99
2026-03-26 23:18:12,fire,0.97
2026-03-26 23:18:12,fire,0.96
2026-03-26 23:18:13,fire,0.99
2026-03-26 23:18:13,fire,0.98
2026-03-26 23:18:14,fire,0.96
2026-03-26 23:18:14,fire,0.96
2026-03-26 23:18:15,fire,0.96
2026-03-26 23:18:15,fire,0.96
2026-03-26 23:18:15,fire,0.97
2026-03-26 23:18:16,fire,0.97
2026-03-26 23:18:16,fire,0.97
2026-03-26 23:18:16,fire,0.97
